from,to,tele,jury
al,se,10,12
al,fi,6,0
al,il,5,6
al,it,12,2
al,no,4,0
al,be,0,5
al,ee,0,8
al,au,0,3
al,cy,7,4
al,hr,8,0
al,am,0,10
al,fr,3,0
al,es,0,1
al,pl,1,0
al,ch,0,7
al,si,2,0
am,se,7,10
am,fi,6,8
am,il,12,12
am,it,3,0
am,no,4,4
am,ua,1,3
am,cy,8,5
am,at,0,2
am,fr,10,7
am,es,0,6
am,pl,5,1
am,ch,2,0
au,se,10,7
au,fi,12,5
au,il,5,0
au,it,0,1
au,no,6,0
au,be,3,12
au,ee,0,8
au,lt,0,10
au,cy,8,3
au,hr,4,0
au,at,7,6
au,fr,2,0
au,es,0,4
au,si,1,0
au,pt,0,2
at,se,4,10
at,fi,12,8
at,il,1,0
at,it,8,12
at,no,7,0
at,ua,5,0
at,be,0,3
at,cz,0,5
at,lt,0,7
at,cy,0,2
at,hr,10,0
at,am,0,1
at,ch,2,4
at,si,0,6
at,al,3,0
at,de,6,0
az,se,10,10
az,fi,8,3
az,il,12,12
az,it,4,6
az,no,2,0
az,ua,7,2
az,ee,0,1
az,au,0,5
az,cz,3,0
az,cy,6,0
az,es,0,7
az,ch,1,4
az,si,5,0
az,al,0,8
be,se,10,8
be,fi,12,5
be,il,5,10
be,it,7,7
be,no,8,0
be,ua,1,0
be,au,0,4
be,cz,0,3
be,am,6,0
be,at,0,12
be,fr,2,1
be,es,0,6
be,pl,4,2
be,al,3,0
hr,se,2,10
hr,fi,10,7
hr,il,4,8
hr,it,8,12
hr,no,5,0
hr,ee,0,3
hr,cz,3,0
hr,es,0,6
hr,md,1,2
hr,si,12,5
hr,al,6,0
hr,pt,0,1
hr,rs,7,4
cy,se,8,12
cy,fi,7,3
cy,il,12,7
cy,it,6,5
cy,no,5,0
cy,ua,10,0
cy,au,0,8
cy,cz,0,1
cy,am,4,4
cy,at,0,10
cy,fr,3,0
cy,es,0,6
cy,md,1,0
cy,pl,2,0
cy,ch,0,2
cz,se,6,10
cz,fi,10,5
cz,il,8,0
cz,it,1,4
cz,no,7,0
cz,ua,12,12
cz,ee,0,2
cz,au,0,7
cz,hr,4,0
cz,am,2,8
cz,es,0,3
cz,md,5,0
cz,si,3,6
cz,de,0,1
dk,se,8,12
dk,fi,12,8
dk,it,3,0
dk,no,10,10
dk,ua,7,0
dk,be,6,3
dk,au,0,2
dk,lt,0,4
dk,cy,2,5
dk,at,0,7
dk,fr,0,6
dk,md,1,0
dk,pl,5,0
dk,ch,4,0
dk,gb,0,1
ee,se,10,12
ee,fi,12,10
ee,il,0,4
ee,it,2,5
ee,no,7,0
ee,ua,8,7
ee,be,0,6
ee,au,6,8
ee,lt,5,1
ee,am,0,3
ee,es,0,2
ee,pl,3,0
ee,ch,4,0
ee,si,1,0
fi,se,0,12
fi,it,0,6
fi,no,12,0
fi,be,0,5
fi,ee,6,0
