source,target,type
ACCIAIUOL,MEDICI,marriage
ALBIZZI,GINORI,marriage
ALBIZZI,GUADAGNI,marriage
ALBIZZI,MEDICI,marriage
BARBADORI,CASTELLAN,marriage
BARBADORI,MEDICI,marriage
BISCHERI,GUADAGNI,marriage
BISCHERI,PERUZZI,marriage
BISCHERI,STROZZI,marriage
CASTELLAN,PERUZZI,marriage
CASTELLAN,STROZZI,marriage
GUADAGNI,LAMBERTES,marriage
GUADAGNI,TORNABUON,marriage
MEDICI,RIDOLFI,marriage
MEDICI,SALVIATI,marriage
MEDICI,TORNABUON,marriage
PAZZI,SALVIATI,marriage
PERUZZI,STROZZI,marriage
RIDOLFI,STROZZI,marriage
RIDOLFI,TORNABUON,marriage
BARBADORI,CASTELLAN,business
BARBADORI,GINORI,business
BARBADORI,MEDICI,business
BARBADORI,PERUZZI,business
BISCHERI,GUADAGNI,business
BISCHERI,LAMBERTES,business
BISCHERI,PERUZZI,business
CASTELLAN,LAMBERTES,business
CASTELLAN,PERUZZI,business
GINORI,MEDICI,business
GUADAGNI,LAMBERTES,business
LAMBERTES,PERUZZI,business
MEDICI,PAZZI,business
MEDICI,SALVIATI,business
MEDICI,TORNABUON,business
